file_name,1_channel,1_sigma
0001TP_006690.png,Gray,1
0001TP_006720.png,Gray,6
0001TP_006750.png,Gray,1
0001TP_006780.png,Gray,21
0001TP_006810.png,Gray,30
0001TP_006840.png,Color,11
0001TP_006870.png,Gray,9
0001TP_006900.png,Color,8
0001TP_006930.png,Gray,26
0001TP_006960.png,Gray,7
0001TP_006990.png,Gray,16
0001TP_007020.png,Color,14
0001TP_007050.png,Color,3
0001TP_007080.png,Color,11
0001TP_007110.png,Color,28
0001TP_007140.png,Gray,13
0001TP_007170.png,Gray,30
0001TP_007200.png,Color,28
0001TP_007230.png,Color,5
0001TP_007260.png,Color,28
0001TP_007290.png,Gray,22
0001TP_007320.png,Color,15
0001TP_007350.png,Gray,4
0001TP_007380.png,Color,2
0001TP_007410.png,Color,25
0001TP_007440.png,Color,13
0001TP_007470.png,Color,6
0001TP_007500.png,Gray,11
0001TP_007530.png,Color,10
0001TP_007560.png,Gray,10
0001TP_007590.png,Gray,11
0001TP_007620.png,Color,3
0001TP_007650.png,Gray,24
0001TP_007680.png,Color,4
0001TP_007710.png,Color,12
0001TP_007740.png,Gray,28
0001TP_007770.png,Gray,9
0001TP_007800.png,Color,27
0001TP_007830.png,Gray,6
0001TP_007860.png,Color,15
0001TP_007890.png,Gray,2
0001TP_007920.png,Color,25
0001TP_007950.png,Color,14
0001TP_007980.png,Gray,18
0001TP_008010.png,Gray,8
0001TP_008040.png,Color,1
0001TP_008070.png,Color,20
0001TP_008100.png,Color,11
0001TP_008130.png,Gray,21
0001TP_008160.png,Color,10
0001TP_008190.png,Gray,24
0001TP_008220.png,Gray,27
0001TP_008250.png,Color,20
0001TP_008280.png,Color,12
0001TP_008310.png,Color,5
0001TP_008340.png,Color,30
0001TP_008370.png,Color,27
0001TP_008400.png,Gray,10
0001TP_008430.png,Color,19
0001TP_008460.png,Gray,11
0001TP_008490.png,Color,6
0001TP_008520.png,Gray,22
0001TP_008550.png,Color,25
0001TP_008580.png,Color,11
0001TP_008610.png,Gray,5
0001TP_008640.png,Color,11
0001TP_008670.png,Gray,17
0001TP_008700.png,Color,27
0001TP_008730.png,Color,24
0001TP_008760.png,Color,24
0001TP_008790.png,Color,20
0001TP_008820.png,Gray,20
0001TP_008850.png,Color,17
0001TP_008880.png,Gray,12
0001TP_008910.png,Color,17
0001TP_008940.png,Color,4
0001TP_008970.png,Color,15
0001TP_009000.png,Color,22
0001TP_009030.png,Gray,11
0001TP_009060.png,Gray,30
0001TP_009090.png,Gray,13
0001TP_009120.png,Color,5
0001TP_009150.png,Color,30
0001TP_009180.png,Color,28
0001TP_009210.png,Gray,24
0001TP_009240.png,Color,20
0001TP_009270.png,Color,21
0001TP_009300.png,Gray,22
0001TP_009330.png,Color,27
0001TP_009360.png,Color,6
0001TP_009390.png,Gray,3
0001TP_009420.png,Color,13
0001TP_009450.png,Gray,12
0001TP_009480.png,Color,16
0001TP_009510.png,Color,15
0001TP_009540.png,Color,18
0001TP_009570.png,Color,13
0001TP_009600.png,Gray,29
0001TP_009630.png,Color,28
0001TP_009660.png,Color,11
0001TP_009690.png,Gray,6
0001TP_009720.png,Gray,30
0001TP_009750.png,Gray,14
0001TP_009780.png,Color,14
0001TP_009810.png,Color,24
0001TP_009840.png,Color,24
0001TP_009870.png,Color,19
0001TP_009900.png,Gray,6
0001TP_009930.png,Gray,14
0001TP_009960.png,Color,29
0001TP_009990.png,Color,16
0001TP_010020.png,Color,7
0001TP_010050.png,Gray,16
0001TP_010080.png,Gray,21
0001TP_010110.png,Gray,10
0001TP_010140.png,Gray,14
0001TP_010170.png,Color,26
0001TP_010200.png,Gray,4
0001TP_010230.png,Gray,21
0001TP_010260.png,Color,18
0001TP_010290.png,Gray,5
0001TP_010320.png,Gray,8
0001TP_010350.png,Color,29
0001TP_010380.png,Gray,20
0006R0_f00930.png,Gray,12
0006R0_f00960.png,Color,19
0006R0_f00990.png,Gray,21
0006R0_f01020.png,Color,19
0006R0_f01050.png,Color,24
0006R0_f01080.png,Gray,23
0006R0_f01110.png,Color,12
0006R0_f01140.png,Gray,12
0006R0_f01170.png,Gray,4
0006R0_f01200.png,Color,8
0006R0_f01230.png,Gray,8
0006R0_f01260.png,Gray,3
0006R0_f01290.png,Gray,21
0006R0_f01320.png,Color,8
0006R0_f01350.png,Color,15
0006R0_f01380.png,Color,8
0006R0_f01410.png,Gray,28
0006R0_f01440.png,Color,16
0006R0_f01470.png,Gray,29
0006R0_f01500.png,Color,16
0006R0_f01530.png,Gray,24
0006R0_f01560.png,Gray,19
0006R0_f01590.png,Gray,2
0006R0_f01620.png,Gray,7
0006R0_f01650.png,Color,12
0006R0_f01680.png,Color,18
0006R0_f01710.png,Color,10
0006R0_f01740.png,Color,20
0006R0_f01770.png,Gray,12
0006R0_f01800.png,Color,26
0006R0_f01830.png,Gray,25
0006R0_f01860.png,Gray,13
0006R0_f01890.png,Color,28
0006R0_f01920.png,Color,5
0006R0_f01950.png,Gray,2
0006R0_f01980.png,Color,18
0006R0_f02010.png,Gray,11
0006R0_f02040.png,Color,11
0006R0_f02070.png,Gray,4
0006R0_f02100.png,Color,11
0006R0_f02130.png,Gray,27
0006R0_f02160.png,Gray,2
0006R0_f02190.png,Color,5
0006R0_f02220.png,Color,24
0006R0_f02250.png,Color,21
0006R0_f02280.png,Gray,16
0006R0_f02310.png,Color,8
0006R0_f02340.png,Gray,29
0006R0_f02370.png,Gray,28
0006R0_f02400.png,Gray,20
0006R0_f02430.png,Color,5
0006R0_f02460.png,Gray,6
0006R0_f02490.png,Gray,26
0006R0_f02520.png,Color,27
0006R0_f02550.png,Gray,25
0006R0_f02580.png,Color,9
0006R0_f02610.png,Color,28
0006R0_f02640.png,Color,14
0006R0_f02670.png,Gray,13
0006R0_f02700.png,Gray,19
0006R0_f02730.png,Color,28
0006R0_f02760.png,Gray,22
0006R0_f02790.png,Gray,19
0006R0_f02820.png,Color,28
0006R0_f02850.png,Gray,4
0006R0_f02880.png,Color,6
0006R0_f02910.png,Color,18
0006R0_f02940.png,Color,5
0006R0_f02970.png,Color,21
0006R0_f03000.png,Color,20
0006R0_f03030.png,Gray,25
0006R0_f03060.png,Gray,27
0006R0_f03090.png,Color,3
0006R0_f03120.png,Color,6
0006R0_f03150.png,Gray,12
0006R0_f03180.png,Color,22
0006R0_f03210.png,Color,30
0006R0_f03240.png,Gray,18
0006R0_f03270.png,Color,8
0006R0_f03300.png,Gray,14
0006R0_f03330.png,Color,26
